Date,Item,Quantity,Unit Price,Total Price,Payment Method,Customer Type,Loyalty Member,Order Type,Tip Amount,Discount Applied,Discount Amount,Barista Name,Prep Time (min),Category,Sub-Category,Weather,Event Day,Gift Card Used,Mobile App Order,Month
1/04/2025,Croissant,3,3,9.36,Mobile Pay,Regular,No,Delivery,1.07,Yes,0.71,Alex,2,Food,Pastry,Rainy,No,Yes,No,2025-04
1/04/2025,Cappuccino,3,4.25,13.57,Cash,Regular,No,Takeaway,0.82,No,0,Jamie,6,Drink,Hot Drink,Sunny,No,Yes,No,2025-04
1/04/2025,Cold Brew,2,5,11.43,Credit Card,New,Yes,Dine-In,1.43,No,0,Jamie,5,Drink,Cold Drink,Sunny,No,No,No,2025-04
1/04/2025,Americano,3,3.5,10,Credit Card,New,Yes,Delivery,1.07,Yes,1.57,Alex,6,Drink,Hot Drink,Rainy,Yes,Yes,Yes,2025-04
,Latte,2,4.5,8.06,Cash,Regular,Yes,Takeaway,,Yes,1.46,Sam,3,Drink,Hot Drink,Cloudy,No,No,Yes,2025-04
,Cold Brew,1,5,6.14,Credit Card,Regular,No,Delivery,1.14,No,0,Alex,6,,Cold Drink,Rainy,No,Yes,Yes,2025-04
,Croissant,2,3,6.45,Mobile Pay,New,No,Takeaway,0.45,No,0,Sam,6,Food,Pastry,Sunny,,No,Yes,2025-04
,Americano,2,,,,New,No,Dine-In,0.46,Yes,1.71,Alex,3,Drink,Hot Drink,Cloudy,No,Yes,No,2025-04
1/04/2025,Flat White,2,,,,Regular,No,Delivery,0.52,No,0,Jamie,6,Drink,Hot Drink,Rainy,No,No,Yes,2025-04
1/04/2025,Bagel,1,,,,New,Yes,Delivery,0.65,Yes,1.23,Alex,6,Food,Sandwich,Sunny,No,No,Yes,2025-04
1/04/2025,Muffin,2,,,,New,No,Delivery,1.4,Yes,0.65,Sam,5,Food,Pastry,Sunny,No,Yes,Yes,2025-04
1/04/2025,Muffin,3,2.75,9.62,Cash,New,No,Delivery,1.37,No,0,Sam,3,Food,Pastry,Cloudy,No,Yes,No,2025-04
1/04/2025,Muffin,1,2.75,2.05,Credit Card,New,Yes,Dine-In,0.68,Yes,1.38,Jamie,7,Food,Pastry,Cloudy,No,No,Yes,2025-04
1/04/2025,Bagel,3,2.5,8.21,Cash,Regular,Yes,Delivery,1.86,Yes,1.15,Jamie,5,Food,Sandwich,Sunny,No,Yes,Yes,2025-04
1/04/2025,Cold Brew,1,5,5.08,Cash,New,No,Dine-In,0.08,No,0,Alex,6,Drink,Cold Drink,Cloudy,No,Yes,Yes,2025-04
1/04/2025,Cappuccino,2,4.25,9.47,Credit Card,Regular,Yes,,,,,Jamie,6,Drink,Hot Drink,Cloudy,No,No,Yes,
1/04/2025,Muffin,1,2.75,3.64,Mobile Pay,Regular,No,,,,,Jamie,3,Food,Pastry,Rainy,No,Yes,No,2025-04
